                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0676,                 1.8371,                 1.2525,                0.98777,                0.99066,                0.99409,                0.79145,                0.75168,                 1.8683,                 1.0272,              0.0005475,              0.0005475,              0.0005475
                      2,                 0.8334,                 1.0495,                 1.0776,                 0.9991,                0.99657,                  0.995,                0.80228,                0.79525,                 1.0404,                  1.055,             0.00073912,             0.00073912,             0.00073912
                      3,                0.75859,                0.85052,                 1.0226,                0.99762,                0.99643,                  0.995,                 0.8514,                0.60627,                0.87788,                0.93648,               0.000564,               0.000564,               0.000564
